Section,Content,Question,Options,Answer,Note
Grammar,この へやは（　）ないです。,（　）になにをいれますか。,"[""\u3042\u3064\u3044"", ""\u3042\u3064\u304f\u3066"", ""\u3042\u3064\u304f"", ""\u3042\u3064\u304b\u3063\u305f""]",C,Negative form of i-adjectives: remove 'i' and add 'kunai'.
Grammar,田中さんは テニスが（　）です。,（　）になにをいれますか。,"[""\u3058\u3087\u3046\u305a"", ""\u3058\u3087\u3046\u305a\u306b"", ""\u3058\u3087\u3046\u305a\u306a"", ""\u3058\u3087\u3046\u305a\u3060""]",A,Na-adjectives before 'desu' take the dictionary form (without 'na').
Grammar,あした どこ（　）いきませんか。,（　）になにをいれますか。,"[""\u306f"", ""\u3082"", ""\u304b"", ""\u304c""]",C,'Doko-ka' means 'somewhere'.
Grammar,きのう デパートへ いって、くつを（　）。,（　）になにをいれますか。,"[""\u304b\u3044\u307e\u3059"", ""\u304b\u3044\u307e\u3057\u305f"", ""\u304b\u3063\u3066"", ""\u304b\u3046""]",B,The sentence describes a completed action in the past.
Grammar,すみません、水を（　）ください。,（　）になにをいれますか。,"[""\u306e\u3080"", ""\u306e\u307f"", ""\u306e\u3093\u3067"", ""\u306e\u3093\u3060""]",C,The request form is Te-form + kudasai.
Grammar,わたしの うち（　）ねこが 二ひき います。,（　）になにをいれますか。,"[""\u306b"", ""\u3067"", ""\u3092"", ""\u3078""]",A,The particle 'ni' indicates the location of existence for 'imasu'.
Reading,はじめまして。わたしは マリアです。ブラジルから きました。いまは 日本の 大学で 日本語を べんきょうして います。わたしの 家族は 父と 母と 弟が 一人います。父は 会社員で、母は 先生です。弟は 高校生です。,マリアさんは どこから きましたか。,"[""\u65e5\u672c"", ""\u30d6\u30e9\u30b8\u30eb"", ""\u30a2\u30e1\u30ea\u30ab"", ""\u4e2d\u56fd""]",B,The text says 'ブラジルから きました' (I came from Brazil).
Reading,はじめまして。わたしは マリアです。ブラジルから きました。いまは 日本の 大学で 日本語を べんきょうして います。わたしの 家族は 父と 母と 弟が 一人います。父は 会社員で、母は 先生です。弟は 高校生です。,マリアさんの お母さんの お仕事は なんですか。,"[""\u4f1a\u793e\u54e1"", ""\u5b66\u751f"", ""\u5148\u751f"", ""\u533b\u8005""]",C,The text says '母は 先生です' (My mother is a teacher).
Reading,はじめまして。わたしは マリアです。ブラジルから きました。いまは 日本の 大学で 日本語を べんきょうして います。わたしの 家族は 父と 母と 弟が 一人います。父は 会社員で、母は 先生です。弟は 高校生です。,マリアさんの 家族は 何人ですか。,"[""\u4e09\u4eba"", ""\u56db\u4eba"", ""\u4e94\u4eba"", ""\u516d\u4eba""]",B,"Maria, Father, Mother, and one younger brother make 4 people."
Reading,わたしの なまえは たなかです。まいにち あさ 七じに おきます。あさごはんを たべてから、八じに うちを でます。バスで 学校へ いきます。九じから 三じまで べんきょうします。ときどき ともだちと としょかんで 本を よみます。五じに うちへ かえります。,たなかさんは 何時に おきますか。,"[""\u516d\u6642"", ""\u4e03\u6642"", ""\u516b\u6642"", ""\u4e5d\u6642""]",B,The text says 'あさ 七じに おきます' (I wake up at 7 AM).
Reading,わたしの なまえは たなかです。まいにち あさ 七じに おきます。あさごはんを たべてから、八じに うちを でます。バスで 学校へ いきます。九じから 三じまで べんきょうします。ときどき ともだちと としょかんで 本を よみます。五じに うちへ かえります。,たなかさんは どうやって 学校へ いきますか。,"[""\u96fb\u8eca"", ""\u81ea\u8ee2\u8eca"", ""\u30d0\u30b9"", ""\u6b69\u3044\u3066""]",C,The text says 'バスで 学校へ いきます' (I go to school by bus).
Reading,わたしの なまえは たなかです。まいにち あさ 七じに おきます。あさごはんを たべてから、八じに うちを でます。バスで 学校へ いきます。九じから 三じまで べんきょうします。ときどき ともだちと としょかんで 本を よみます。五じに うちへ かえります。,たなかさんは いつも としょかんで 本を よみますか。,"[""\u306f\u3044\u3001\u307e\u3044\u306b\u3061 \u3088\u307f\u307e\u3059"", ""\u3044\u3044\u3048\u3001\u3068\u304d\u3069\u304d \u3088\u307f\u307e\u3059"", ""\u3044\u3044\u3048\u3001\u305c\u3093\u305c\u3093 \u3088\u307f\u307e\u305b\u3093"", ""\u306f\u3044\u3001\u4e09\u3058\u306b \u3088\u307f\u307e\u3059""]",B,The text says 'ときどき...本を よみます' (Sometimes I read books).
Reading,先週の 日曜日に 友達の リーさんと 京都へ 行きました。京都は とても きれいでした。私たちは 朝 九時に 京都駅で 会いました。それから バスで 有名な お寺へ 行きました。お寺には 人が たくさん いました。お昼ごはんは 古い レストランで 魚を 食べました。とても おいしかったです。午後は お土産を 買いました。私は 家族に お菓子を 買いました。リーさんは 妹さんに きれいな 絵はがきを 買いました。とても 楽しい 一日でした。,二人は いつ 京都へ 行きましたか。,"[""\u5148\u9031\u306e \u571f\u66dc\u65e5"", ""\u5148\u9031\u306e \u65e5\u66dc\u65e5"", ""\u4eca\u9031\u306e \u65e5\u66dc\u65e5"", ""\u6628\u65e5\u306e \u65e5\u66dc\u65e5""]",B,The text starts with '先週の 日曜日に' (Last week Sunday).
Reading,先週の 日曜日に 友達の リーさんと 京都へ 行きました。京都は とても きれいでした。私たちは 朝 九時に 京都駅で 会いました。それから バスで 有名な お寺へ 行きました。お寺には 人が たくさん いました。お昼ごはんは 古い レストランで 魚を 食べました。とても おいしかったです。午後は お土産を 買いました。私は 家族に お菓子を 買いました。リーさんは 妹さんに きれいな 絵はがきを 買いました。とても 楽しい 一日でした。,お寺に 人が いましたか。,"[""\u3044\u3044\u3048\u3001\u3042\u307e\u308a \u3044\u307e\u305b\u3093\u3067\u3057\u305f"", ""\u3044\u3044\u3048\u3001\u3060\u308c\u3082 \u3044\u307e\u305b\u3093\u3067\u3057\u305f"", ""\u306f\u3044\u3001\u5c11\u3057 \u3044\u307e\u3057\u305f"", ""\u306f\u3044\u3001\u305f\u304f\u3055\u3093 \u3044\u307e\u3057\u305f""]",D,The text says '人が たくさん いました' (There were many people).
Reading,先週の 日曜日に 友達の リーさんと 京都へ 行きました。京都は とても きれいでした。私たちは 朝 九時に 京都駅で 会いました。それから バスで 有名な お寺へ 行きました。お寺には 人が たくさん いました。お昼ごはんは 古い レストランで 魚を 食べました。とても おいしかったです。午後は お土産を 買いました。私は 家族に お菓子を 買いました。リーさんは 妹さんに きれいな 絵はがきを 買いました。とても 楽しい 一日でした。,お昼ごはんに 何を 食べましたか。,"[""\u8089"", ""\u91ce\u83dc"", ""\u9b5a"", ""\u304a\u83d3\u5b50""]",C,The text says '魚を 食べました' (Ate fish).
Reading,先週の 日曜日に 友達の リーさんと 京都へ 行きました。京都は とても きれいでした。私たちは 朝 九時に 京都駅で 会いました。それから バスで 有名な お寺へ 行きました。お寺には 人が たくさん いました。お昼ごはんは 古い レストランで 魚を 食べました。とても おいしかったです。午後は お土産を 買いました。私は 家族に お菓子を 買いました。リーさんは 妹さんに きれいな 絵はがきを 買いました。とても 楽しい 一日でした。,リーさんは 何を 買いましたか。,"[""\u304a\u83d3\u5b50"", ""\u304a\u5bfa\u306e \u672c"", ""\u7d75\u306f\u304c\u304d"", ""\u9b5a""]",C,The text says 'リーさんは...絵はがきを 買いました' (Lee bought postcards).
Reading,先週の 日曜日に 友達の リーさんと 京都へ 行きました。京都は とても きれいでした。私たちは 朝 九時に 京都駅で 会いました。それから バスで 有名な お寺へ 行きました。お寺には 人が たくさん いました。お昼ごはんは 古い レストランで 魚を 食べました。とても おいしかったです。午後は お土産を 買いました。私は 家族に お菓子を 買いました。リーさんは 妹さんに きれいな 絵はがきを 買いました。とても 楽しい 一日でした。,二人は 何時に 会いましたか。,"[""\u516b\u6642"", ""\u4e5d\u6642"", ""\u5341\u6642"", ""\u4e94\u6642""]",B,The text says '朝 九時に...会いました' (Met at 9 AM).
